predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-04,2026-09-05T11:35:03,2026,E0,2026-09-05T12:30:00,newcastle,bournemouth,0.481903467,0.241755740,0.276340793,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-05T11:35:03,2026,E0,2026-09-05T12:30:00,newcastle,bournemouth,0.378750293,0.300754801,0.320494906,52835,2026-09-02T20:00:00
market_line,2026-09-04,2026-09-05T11:35:03,2026,E0,2026-09-05T12:30:00,newcastle,bournemouth,0.452817988,0.254530244,0.292651768,0,
naive_baseline,2026-09-04,2026-09-05T11:35:03,2026,E0,2026-09-05T12:30:00,newcastle,bournemouth,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
dixon_coles,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,brentford,sunderland,0.581540239,0.245326579,0.173133182,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,brighton,leeds,0.491644412,0.250281178,0.258074411,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,fulham,crystal_palace,0.449710514,0.272079758,0.278209729,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,man_city,coventry,0.818682188,0.120583032,0.060734780,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,nottm_forest,tottenham,0.480073439,0.249566882,0.270359679,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,brentford,sunderland,0.549685469,0.259658682,0.190655848,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,brighton,leeds,0.454786264,0.288859388,0.256354348,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,fulham,crystal_palace,0.472004184,0.284618887,0.243376929,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,man_city,coventry,0.828727106,0.115178330,0.056094564,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,nottm_forest,tottenham,0.567546576,0.252727063,0.179726361,52835,2026-09-02T20:00:00
market_line,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,brentford,sunderland,0.592365101,0.236931671,0.170703228,0,
market_line,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,brighton,leeds,0.482509205,0.264825107,0.252665688,0,
market_line,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,fulham,crystal_palace,0.410655201,0.278264875,0.311079924,0,
market_line,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,man_city,coventry,0.828394946,0.114396497,0.057208557,0,
market_line,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,nottm_forest,tottenham,0.394382242,0.277208219,0.328409539,0,
naive_baseline,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,brentford,sunderland,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,brighton,leeds,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,fulham,crystal_palace,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,man_city,coventry,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-05T14:05:03,2026,E0,2026-09-05T15:00:00,nottm_forest,tottenham,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
