predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-11,2026-09-13T13:05:04,2026,E0,2026-09-13T14:00:00,coventry,brighton,0.270182681,0.245716666,0.484100653,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-13T13:05:04,2026,E0,2026-09-13T14:00:00,coventry,brighton,0.267415371,0.291947967,0.440636662,52891,2026-09-10T20:00:00
market_line,2026-09-11,2026-09-13T13:05:04,2026,E0,2026-09-13T14:00:00,coventry,brighton,0.235847604,0.247983353,0.516169043,0,
naive_baseline,2026-09-11,2026-09-13T13:05:04,2026,E0,2026-09-13T14:00:00,coventry,brighton,0.456508577,0.248335015,0.295156408,9910,2026-09-06T16:30:00
