predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,aston_villa,nottm_forest,0.452294684,0.267309686,0.280395630,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,bournemouth,brentford,0.423373160,0.254581202,0.322045638,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,chelsea,hull,0.742021741,0.161915133,0.096063126,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,crystal_palace,ipswich,0.560740472,0.232250542,0.207008986,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,liverpool,fulham,0.609629203,0.209904110,0.180466687,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,aston_villa,nottm_forest,0.542325547,0.262394876,0.195279577,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,bournemouth,brentford,0.507667924,0.274275600,0.218056476,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,chelsea,hull,0.720650646,0.179062885,0.100286468,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,crystal_palace,ipswich,0.582754335,0.246513178,0.170732487,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,liverpool,fulham,0.619682607,0.230311597,0.150005796,52891,2026-09-10T20:00:00
market_line,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,aston_villa,nottm_forest,0.428710994,0.275565257,0.295723749,0,
market_line,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,bournemouth,brentford,0.387137344,0.260237906,0.352624750,0,
market_line,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,chelsea,hull,0.797721005,0.135220879,0.067058116,0,
market_line,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,crystal_palace,ipswich,0.519910478,0.247976411,0.232113112,0,
market_line,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,liverpool,fulham,0.670454719,0.188964097,0.140581183,0,
naive_baseline,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,aston_villa,nottm_forest,0.456508577,0.248335015,0.295156408,9910,2026-09-06T16:30:00
naive_baseline,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,bournemouth,brentford,0.456508577,0.248335015,0.295156408,9910,2026-09-06T16:30:00
naive_baseline,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,chelsea,hull,0.456508577,0.248335015,0.295156408,9910,2026-09-06T16:30:00
naive_baseline,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,crystal_palace,ipswich,0.456508577,0.248335015,0.295156408,9910,2026-09-06T16:30:00
naive_baseline,2026-09-11,2026-09-12T14:05:04,2026,E0,2026-09-12T15:00:00,liverpool,fulham,0.456508577,0.248335015,0.295156408,9910,2026-09-06T16:30:00
