predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-11,2026-09-14T19:05:04,2026,E0,2026-09-14T20:00:00,leeds,newcastle,0.371531205,0.259378018,0.369090778,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-14T19:05:04,2026,E0,2026-09-14T20:00:00,leeds,newcastle,0.470426018,0.285028849,0.244545133,52891,2026-09-10T20:00:00
market_line,2026-09-11,2026-09-14T19:05:04,2026,E0,2026-09-14T20:00:00,leeds,newcastle,0.397154608,0.268957427,0.333887966,0,
naive_baseline,2026-09-11,2026-09-14T19:05:04,2026,E0,2026-09-14T20:00:00,leeds,newcastle,0.456508577,0.248335015,0.295156408,9910,2026-09-06T16:30:00
