predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-18,2026-09-18T19:05:04,2026,E0,2026-09-18T20:00:00,brentford,chelsea,0.427103637,0.243500822,0.329395540,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-18T19:05:04,2026,E0,2026-09-18T20:00:00,brentford,chelsea,0.466665460,0.285988656,0.247345884,52939,2026-09-17T20:00:00
market_line,2026-09-18,2026-09-18T19:05:04,2026,E0,2026-09-18T20:00:00,brentford,chelsea,0.362873129,0.252996740,0.384130132,0,
naive_baseline,2026-09-18,2026-09-18T19:05:04,2026,E0,2026-09-18T20:00:00,brentford,chelsea,0.456149194,0.248487903,0.295362903,9920,2026-09-14T20:00:00
