predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-04,2026-09-04T19:05:03,2026,E0,2026-09-04T20:00:00,ipswich,liverpool,0.170542307,0.189998102,0.639459592,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T19:05:03,2026,E0,2026-09-04T20:00:00,ipswich,liverpool,0.233209373,0.280806250,0.485984376,52835,2026-09-02T20:00:00
market_line,2026-09-04,2026-09-04T19:05:03,2026,E0,2026-09-04T20:00:00,ipswich,liverpool,0.165722100,0.191158326,0.643119574,0,
naive_baseline,2026-09-04,2026-09-04T19:05:03,2026,E0,2026-09-04T20:00:00,ipswich,liverpool,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
