predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-18T20:00:00,brentford,chelsea,0.427104785,0.243500607,0.329394608,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T12:30:00,tottenham,aston_villa,0.367001354,0.259436662,0.373561983,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T15:00:00,brighton,arsenal,0.223944985,0.259833742,0.516221273,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T15:00:00,everton,ipswich,0.575590897,0.239426697,0.184982406,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T15:00:00,newcastle,hull,0.732008853,0.165968295,0.102022851,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T17:30:00,nottm_forest,coventry,0.588542167,0.230536977,0.180920856,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-20T14:00:00,bournemouth,liverpool,0.332490230,0.245760247,0.421749523,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-20T14:00:00,leeds,crystal_palace,0.480890981,0.262290350,0.256818670,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-20T14:00:00,man_city,sunderland,0.758522561,0.169622097,0.071855341,52939,2026-09-17T20:00:00
dixon_coles,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-20T16:30:00,fulham,man_united,0.355929854,0.261850144,0.382220002,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-18T20:00:00,brentford,chelsea,0.466665460,0.285988656,0.247345884,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T12:30:00,tottenham,aston_villa,0.299657827,0.298411374,0.401930799,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T15:00:00,brighton,arsenal,0.210558102,0.270648186,0.518793712,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T15:00:00,everton,ipswich,0.590748452,0.243136470,0.166115078,52939,2026-09-17T20:00:00
elo,2026-09-18,2026-09-18T00:00:00,2026,E0,2026-09-19T15:00:00,newcastle,hull,0.676621780,0.202553583,0.120824636,52939,2026-09-17T20:00:00
