predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,aston_villa,nottm_forest,0.452296700,0.267308566,0.280394734,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,bournemouth,brentford,0.423374051,0.254580363,0.322045586,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,chelsea,hull,0.742013977,0.161919041,0.096066982,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,crystal_palace,ipswich,0.560600809,0.232297980,0.207101211,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,liverpool,fulham,0.609634811,0.209901554,0.180463635,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T17:30:00,tottenham,everton,0.391639812,0.275301480,0.333058708,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T20:00:00,sunderland,arsenal,0.117746472,0.240409227,0.641844300,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-13T14:00:00,coventry,brighton,0.270177709,0.245677650,0.484144641,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-13T16:30:00,man_united,man_city,0.247388398,0.236388853,0.516222749,52891,2026-09-10T20:00:00
dixon_coles,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-14T20:00:00,leeds,newcastle,0.371549472,0.259354713,0.369095815,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,aston_villa,nottm_forest,0.542325547,0.262394876,0.195279577,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,bournemouth,brentford,0.507667924,0.274275600,0.218056476,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,chelsea,hull,0.720650646,0.179062885,0.100286468,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,crystal_palace,ipswich,0.582754335,0.246513178,0.170732487,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,liverpool,fulham,0.619682607,0.230311597,0.150005796,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T17:30:00,tottenham,everton,0.332173385,0.301494078,0.366332537,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T20:00:00,sunderland,arsenal,0.161631692,0.239732798,0.598635510,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-13T14:00:00,coventry,brighton,0.267415371,0.291947967,0.440636662,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-13T16:30:00,man_united,man_city,0.315866695,0.300350287,0.383783018,52891,2026-09-10T20:00:00
elo,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-14T20:00:00,leeds,newcastle,0.470426018,0.285028849,0.244545133,52891,2026-09-10T20:00:00
market_line,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,aston_villa,nottm_forest,0.428710994,0.275565257,0.295723749,0,
market_line,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,bournemouth,brentford,0.387137344,0.260237906,0.352624750,0,
market_line,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,chelsea,hull,0.797721005,0.135220879,0.067058116,0,
market_line,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,crystal_palace,ipswich,0.519910478,0.247976411,0.232113112,0,
market_line,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T15:00:00,liverpool,fulham,0.670454719,0.188964097,0.140581183,0,
market_line,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T17:30:00,tottenham,everton,0.472965364,0.264303097,0.262731539,0,
market_line,2026-09-11,2026-09-11T00:00:00,2026,E0,2026-09-12T20:00:00,sunderland,arsenal,0.118236248,0.223108327,0.658655425,0,
