predictor,prediction_round,as_of_instant,season,division,kickoff,home_club,away_club,prob_home,prob_draw,prob_away,inputs_seen,latest_input
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-04T20:00:00,ipswich,liverpool,0.170542153,0.189997375,0.639460473,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T12:30:00,newcastle,bournemouth,0.481895833,0.241757821,0.276346346,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,brentford,sunderland,0.581511540,0.245336386,0.173152074,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,brighton,leeds,0.491432060,0.250324220,0.258243721,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,fulham,crystal_palace,0.449705793,0.272081423,0.278212784,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,man_city,coventry,0.818630041,0.120612278,0.060757680,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,nottm_forest,tottenham,0.479989154,0.249592005,0.270418841,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T17:30:00,hull,aston_villa,0.179342804,0.223591020,0.597066176,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-06T14:00:00,everton,man_united,0.360754083,0.273863118,0.365382799,52835,2026-09-02T20:00:00
dixon_coles,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-06T16:30:00,arsenal,chelsea,0.649238873,0.210118860,0.140642267,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-04T20:00:00,ipswich,liverpool,0.233209373,0.280806250,0.485984376,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T12:30:00,newcastle,bournemouth,0.378750293,0.300754801,0.320494906,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,brentford,sunderland,0.549685469,0.259658682,0.190655848,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,brighton,leeds,0.454786264,0.288859388,0.256354348,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,fulham,crystal_palace,0.472004184,0.284618887,0.243376929,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,man_city,coventry,0.828727106,0.115178330,0.056094564,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,nottm_forest,tottenham,0.567546576,0.252727063,0.179726361,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T17:30:00,hull,aston_villa,0.181653242,0.253997553,0.564349205,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-06T14:00:00,everton,man_united,0.325988534,0.301152079,0.372859387,52835,2026-09-02T20:00:00
elo,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-06T16:30:00,arsenal,chelsea,0.701903670,0.189264937,0.108831394,52835,2026-09-02T20:00:00
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-04T20:00:00,ipswich,liverpool,0.165722100,0.191158326,0.643119574,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T12:30:00,newcastle,bournemouth,0.452817988,0.254530244,0.292651768,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,brentford,sunderland,0.592365101,0.236931671,0.170703228,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,brighton,leeds,0.482509205,0.264825107,0.252665688,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,fulham,crystal_palace,0.410655201,0.278264875,0.311079924,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,man_city,coventry,0.828394946,0.114396497,0.057208557,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,nottm_forest,tottenham,0.394382242,0.277208219,0.328409539,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T17:30:00,hull,aston_villa,0.228659951,0.256921475,0.514418575,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-06T14:00:00,everton,man_united,0.290314598,0.261757169,0.447928233,0,
market_line,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-06T16:30:00,arsenal,chelsea,0.567334469,0.243714786,0.188950745,0,
naive_baseline,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-04T20:00:00,ipswich,liverpool,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T12:30:00,newcastle,bournemouth,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,brentford,sunderland,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,brighton,leeds,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,fulham,crystal_palace,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,man_city,coventry,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
naive_baseline,2026-09-04,2026-09-04T00:00:00,2026,E0,2026-09-05T15:00:00,nottm_forest,tottenham,0.456767677,0.247979798,0.295252525,9900,2026-08-31T20:00:00
